htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
nnc1.cu56775652	Abstracts of the several laws and rules that are now in force, relating to the importation and exportation of wines. Into and out of Great-Britain. With complete tables of the net duties, that are to be paid on the importing, and repaid on the exporting of the same ... Likewise are annex'd, the regulations of the ancient duties of prisage, and butlerage, and the rates of scavage, package, &amp;c. With an abbreviate account of the fees payable on passing entries. As also several remarks necessary in making entries, and completing the Custom-house business of wines. By Charles Cleland ... 	Cleland, Charles.	1737-00-00	1	16108565	20004749		https://catalog.hathitrust.org/Record/008433555	https://hdl.handle.net/2027/nnc1.cu56775652
uc2.ark:/13960/t8kd1s441	The academy keeper: or variety of useful directions concerning the management of an academy, the terms, diet, lodging, recreation, discipline, and instruction of young gentlemen. 		1770-00-00	1	13221854			https://catalog.hathitrust.org/Record/007651002	https://hdl.handle.net/2027/uc2.ark:/13960/t8kd1s441
mdp.39015055388766	The accomplishment of the Scripture prophecies, or, The approaching deliverance of the church. Proving, that the papacy is the antichristian kingdom; and that that kingdom is not far from its ruin. ... Written in French by Mr. Peter Jurieu ... In two parts. Faithfully Englished from the new French edition, corrected and enlarged by almost a third part, with the explication of the visions of Daniel, and the Revelation 	Jurieu, Pierre, 1637-1713.	1687-00-00	1	5110859			https://catalog.hathitrust.org/Record/002240715	https://hdl.handle.net/2027/mdp.39015055388766
mdp.39015074807580	An account of a copper table : containing two inscriptions, in the Greek and Latin tongues : discovered in the year 1732, near Heraclea, in the bay of Tarentum, in Magna Graecia / by Philip Carteret Webb ; read at a meeting of the Society of Antiquaries of London, the 13 December 1759 ; and ordered to be printed. 	Webb, Philip Carteret, 1700-1770.	1760-00-00	1	11154431	06030059		https://catalog.hathitrust.org/Record/001221826	https://hdl.handle.net/2027/mdp.39015074807580
mdp.39015064378642	An account of a surprising meteor, seen in the air, March the 6th, 1716, at night ... 	Whiston, William, 1667-1752.	1716-00-00	1	67896157			https://catalog.hathitrust.org/Record/001999638	https://hdl.handle.net/2027/mdp.39015064378642
mdp.39015062205037	An account of a voyage for the discovery of a north-west passage by Hudson's streights, 	Swaine, Charles	1749-00-00	1	4117821	05036673		https://catalog.hathitrust.org/Record/001271549	https://hdl.handle.net/2027/mdp.39015062205037
uc2.ark:/13960/t57d35c13	An account of a voyage from Spain to Paraquaria : performed by the reverend fathers Anthony Sepp and Anthony Behme ... containing a description of all the remarkable things and the inhabitants, as well as of missionaries residing in that country taken from letters of the said Anthony Sepp ; and publish'd by his own brother Gabriel Sepp ; translated from the High Dutch original, published at Nurenberg, 1697 	Sepp von Reinegg, Anton, 1655-1733 or 8.	1704-00-00	1	4876530			https://catalog.hathitrust.org/Record/007703327	https://hdl.handle.net/2027/uc2.ark:/13960/t57d35c13
mdp.39015027343576	An account of charity-schools in Great Britain and Ireland: with the benefactions thereto; and of the methods whereby they were set up, and are governed. Also a proposal for adding some work to the childrens learning. And an appendix, containing certain forms and directions relating to these schools. 		1712-00-00	1	23618822			https://catalog.hathitrust.org/Record/001974575	https://hdl.handle.net/2027/mdp.39015027343576
mdp.39015062964583	An account of church government and governours, wherein is shewed that the government of the Church of England is most agreeable to that of the primitive church 	Brett, Thomas, 1667-1744.	1710-00-00	1	23635000			https://catalog.hathitrust.org/Record/001959636	https://hdl.handle.net/2027/mdp.39015062964583
uc2.ark:/13960/t2g73b54j	An account of Corsica, the journal of a tour to that island, and memoirs of Pascal Paoli. By James Boswell ... 	Boswell, James, 1740-1795.	1769-00-00	1	547540	04026270		https://catalog.hathitrust.org/Record/000345608	https://hdl.handle.net/2027/uc2.ark:/13960/t2g73b54j
mdp.39015030832490	An account of Livonia : with a relation of the rise, progress, and decay of the Marian Teutonick Order : the several revolutions that have happen'd there to these present times, with the wars of Poland, Sweden and Muscovy, contending for that province : a particular account of the dukedoms of Courland, Semigallia, and the province of Pilten : to which is added the author's journey from Livonia to Holland in 1698 ... sent in letters to his friend in London. 	Blomberg, Karl Johann von, Baron.	1701-00-00	1	10777817	83461894		https://catalog.hathitrust.org/Record/001245527	https://hdl.handle.net/2027/mdp.39015030832490
mdp.39015064392049	An account of many remarkable passages of the life of Oliver Sansom; shewing his convincement of the truth, and the exercises, tryals and sufferings, which came upon him for his obedience thereunto: also relating some of his travels and labour in the work of the ministry, for turning people from darkness, to light, &amp;c. ... 	Sansom, Oliver, 1636-1710.	1710-00-00	1	1856951	03031630		https://catalog.hathitrust.org/Record/001960635	https://hdl.handle.net/2027/mdp.39015064392049
uc1.31822038219697	An account of Portugal, as it appeared in 1766 to Dumouriez : since a celebrated general in the French army 	Dumouriez, Charles François Du Périer, 1739-1823	1797-00-00	1	12088532			https://catalog.hathitrust.org/Record/007658114	https://hdl.handle.net/2027/uc1.31822038219697
uc2.ark:/13960/t39z91k5x	An account of Portugal, as it appeared in 1766 to Dumouriez : since a celebrated general in the French army 	Dumouriez, Charles François Du Périer, 1739-1823	1797-00-00	1	12088532			https://catalog.hathitrust.org/Record/007658114	https://hdl.handle.net/2027/uc2.ark:/13960/t39z91k5x
mdp.39015078543892	An Account of several late voyages &amp; discoveries to the south and north ... By Sir John Narborough, Captain Jasmen Tasman, Captain John Wood, and Frederick Marten ... 	Robinson, Tancred, Sir, d. 1748. Martens, Friedrich, 1635-1699. Wood, John, Captain. Tasman, Abel Janszoon, 1603?-1659. Narbrough, John, Sir, 1640-1688.	1694-00-00	1	2923908	05033304//r87		https://catalog.hathitrust.org/Record/001270709	https://hdl.handle.net/2027/mdp.39015078543892
mdp.39015039549533	An account of Sir Isaac Newton's philosophical discoveries, in four books By Colin Maclaurin. Pub. from the author's manuscript papers, by Patrick Murdoch 	MacLaurin, Colin, 1698-1746.	1750-00-00	1	1184090			https://catalog.hathitrust.org/Record/000383880	https://hdl.handle.net/2027/mdp.39015039549533
mdp.39015074633846	An account of Sir Isaac Newton's philosophical discoveries, in four books By Colin Maclaurin. Pub. from the author's manuscript papers, by Patrick Murdoch 	MacLaurin, Colin, 1698-1746.	1750-00-00	1	1184090			https://catalog.hathitrust.org/Record/000383880	https://hdl.handle.net/2027/mdp.39015074633846
hvd.hxj4gq	An account of Sir Isaac Newton's philosophical discoveries, in four books By Colin Maclaurin. Published from the author's manuscript papers, by Patick Murdoch 	MacLaurin, Colin, 1698-1746.	1775-00-00	1	6375208	04012709		https://catalog.hathitrust.org/Record/000384756	https://hdl.handle.net/2027/hvd.hxj4gq
mdp.39015063896826	An account of Sir Isaac Newton's philosophical discoveries, in four books By Colin Maclaurin. Published from the author's manuscript papers, by Patick Murdoch 	MacLaurin, Colin, 1698-1746.	1775-00-00	1	6375208	04012709		https://catalog.hathitrust.org/Record/000384756	https://hdl.handle.net/2027/mdp.39015063896826
mdp.39015062771004	An account of some experiments upon a machine for measuring the way of a ship at sea. 	Smeaton, John, 1724-1792.	1754-00-00	1	23638176	30010659		https://catalog.hathitrust.org/Record/001623436	https://hdl.handle.net/2027/mdp.39015062771004
mdp.39015064487633	An account of some German volcanos, and their productions : with a new hypothesis of the prismatical basaltes : established upon facts : being an essay of physical geography for philosophers and miners : published as supplementary to Sir William Hamilton's Observations on the Italian volcanos by R.E. Raspe 	Raspe, Rudolf Erich, 1737-1794.	1776-00-00	1	2395180	12-6927//rev		https://catalog.hathitrust.org/Record/001488534	https://hdl.handle.net/2027/mdp.39015064487633
mdp.39015053567247	An account of Switzerland 	Stanyan, Abraham, 1669?-1732.	1714-00-00	1	4754369	04015255		https://catalog.hathitrust.org/Record/001246146	https://hdl.handle.net/2027/mdp.39015053567247
yale.39002003580157	An account of Switzerland. 	Stanyan, Abraham, 1669?-1732.	1714-00-00	1	4754369	04015255		https://catalog.hathitrust.org/Record/001246146	https://hdl.handle.net/2027/yale.39002003580157
nnc1.0035539887	An account of the convincement, exercises, services and travels of that ancient servant of the Lord, Richard Davies : with some relation of ancient Friends, and of the spreading of truth in north Wales 	Davies, Richard, 1635-1708.	1790-00-00	1	18703086			https://catalog.hathitrust.org/Record/005887823	https://hdl.handle.net/2027/nnc1.0035539887
uc2.ark:/13960/t7qn60s9q	An account of the convincement, exercises, services, and travels, of that ancient servant of the Lord, Richard Davies: with some relation of ancient Friends, and of the spreading of truth in North Wales, &amp;c. 	Davies, Richard, 1635-1708.	1771-00-00	1	5087595			https://catalog.hathitrust.org/Record/007656789	https://hdl.handle.net/2027/uc2.ark:/13960/t7qn60s9q
wu.89038549689	An account of the culture of carrots and their great use in feeding and fattening cattle By Robert Billing. Pub. by desire of the Society for the Encouragement of Arts, Manufactures and Commerce at London 	Billing, Robert.	1765-00-00	1	10043398	48039760		https://catalog.hathitrust.org/Record/006826453	https://hdl.handle.net/2027/wu.89038549689
mdp.39015063611811	An account of the dangers to which I have been exposed, since the 31st of May, 1793. Interspersed with historical remarks by John-Baptist Louvet, one of the French representatives who were proscribed in 1793. And now president of the National convention 	Louvet de Couvray, Jean-Baptiste, 1760-1797.	1795-00-00	1	23632977			https://catalog.hathitrust.org/Record/000602216	https://hdl.handle.net/2027/mdp.39015063611811
uc2.ark:/13960/t0zp3wz6q	An account of the Earl of Peterborow's conduct in Spain, chiefly since the raising the siege of Barcelona, 1706. To which is added the campagne of Valencia. With original papers ... 	Freind, John, 1675-1728.	1707-00-00	1	15159402			https://catalog.hathitrust.org/Record/007659797	https://hdl.handle.net/2027/uc2.ark:/13960/t0zp3wz6q
uc2.ark:/13960/t2n58tf55	An account of the empire of China; historical, political, moral and religious. A short description of that empire, and notable examples of its emperors and ministers. Also, an ample relation of many remarkable passages, and things worth observing in other kingdoms, and several voyages. There are added, the decrees of popes, and propositions defined at Rome for the mission of China; and a bull of ... Clement X., in favour of the missioners. Written in Spanish. 	Fernández Navarrete, Domingo, d. 1689.	1732-00-00	1	12382592			https://catalog.hathitrust.org/Record/007698585	https://hdl.handle.net/2027/uc2.ark:/13960/t2n58tf55
uc2.ark:/13960/t5k931x06	An account of the European settlements in America in six parts.. each part contains an accurate description of the settlements in it, their extent, climate, productions, trade genius and disposition of their inhabitants: the interests of the several powers of Europe with respect to those settlements; and their political and commercial views with regard to each other... v.1	Burke, Edmund, 1729-1797.	1760-00-00	1	1088058	09028982		https://catalog.hathitrust.org/Record/007652823	https://hdl.handle.net/2027/uc2.ark:/13960/t5k931x06
uc2.ark:/13960/t2g737n90	An account of the European settlements in America in six parts.. each part contains an accurate description of the settlements in it, their extent, climate, productions, trade genius and disposition of their inhabitants: the interests of the several powers of Europe with respect to those settlements; and their political and commercial views with regard to each other... v.2	Burke, Edmund, 1729-1797.	1760-00-00	1	1088058	09028982		https://catalog.hathitrust.org/Record/007652823	https://hdl.handle.net/2027/uc2.ark:/13960/t2g737n90
nnc1.0036706590	An account of the European settlements in America. In six parts. I. A short history of the discovery of that part of the world. II. The manners and customs of the original inhabitants. III. Of the Spanish settlements. IV. Of the Portuguese. V. Of the French, Dutch and Danish. VI. Of the English ... v.1	Burke, Edmund, 1729-1797.	1770-00-00	1	505103528	13021560		https://catalog.hathitrust.org/Record/008394924	https://hdl.handle.net/2027/nnc1.0036706590
mdp.39015064423745	An account of the European settlements in America. In six parts. I. A short history of the discovery of that part of the world. II. The manners and customs of the original inhabitants. III. Of the Spanish settlements. IV. Of the Portuguese. V. Of the French, Dutch and Danish. VI. Of the English ... v.2	Burke, Edmund, 1729-1797.	1770-00-00	1	4138364	13021560		https://catalog.hathitrust.org/Record/000600875	https://hdl.handle.net/2027/mdp.39015064423745
nnc1.0027059588	An account of the European settlements in America. In six parts. I. A short history of the discovery of that part of the world. II. The manners and customs of the original inhabitants. III. Of the Spanish settlements. IV. Of the Portuguese. V. Of the French, Dutch and Danish. VI. Of the English ... v.2	Burke, Edmund, 1729-1797.	1770-00-00	1	505103528	13021560		https://catalog.hathitrust.org/Record/008394924	https://hdl.handle.net/2027/nnc1.0027059588
mdp.39015064423737	An account of the European settlements in America. In six parts. I. A short history of the discovery of that part of the world. II. The manners and customs of the original inhabitants. III. Of the Spanish settlements. IV. Of the Portuguese. V. Of the French, Dutch and Danish. VI. Of the English ... v.1	Burke, Edmund, 1729-1797.	1770-00-00	1	4138364	13021560		https://catalog.hathitrust.org/Record/000600875	https://hdl.handle.net/2027/mdp.39015064423737
uc2.ark:/13960/t81j98c7v	An account of the European settlements in America. In six parts. I. A short history of the discovery of that part of the world. II. The manners and customs of the original inhabitants. III. Of the Spanish settlements. IV. Of the Portuguese. V. Of the French, Dutch and Danish. VI. Of the English ... v.0001	Burke, Edmund, 1729-1797.	1770-00-00	1	4138364	13021560		https://catalog.hathitrust.org/Record/000600875	https://hdl.handle.net/2027/uc2.ark:/13960/t81j98c7v
uc2.ark:/13960/t5q815j9d	An account of the European settlements in America. In six parts. I. A short history of the discovery of that part of the world. II. The manners and customs of the original inhabitants. III. Of the Spanish settlements. IV. Of the Portuguese. V. Of the French, Dutch and Danish. VI. Of the English ... v.0002	Burke, Edmund, 1729-1797.	1770-00-00	1	4138364	13021560		https://catalog.hathitrust.org/Record/000600875	https://hdl.handle.net/2027/uc2.ark:/13960/t5q815j9d
wu.89098879067	An Account of the expedition to Carthagena : with explanatory notes and observations. 	Knowles, Charles, Sir, 1704?-1777,	1743-00-00	1	2765874	01024093		https://catalog.hathitrust.org/Record/005789633	https://hdl.handle.net/2027/wu.89098879067
uc2.ark:/13960/t26972r8h	An Account of the expedition to Carthagena, with explanatory notes and observations. 	Knowles, Charles, Sir, 1704?-1777,	1743-00-00	1	19368353	01024094		https://catalog.hathitrust.org/Record/007650243	https://hdl.handle.net/2027/uc2.ark:/13960/t26972r8h
mdp.39015078545186	An account of the first settlement, laws, form of government, and police, of the Cessares,a people of South America: in nine letters from Mr. Vander Neck, one of the senators of that nation, to his friend in Holland. With notes by the editor [William Burgh] ... 	Burgh, James, 1714-1775.	1764-00-00	1	21427873	09016653		https://catalog.hathitrust.org/Record/001137642	https://hdl.handle.net/2027/mdp.39015078545186
uc2.ark:/13960/t7dr2qr67	An account of the gospel labours, and Christian experiences of a faithful minister of Christ, John Churchman, late of Nottingham, in Pennsylvania, deceased : To which is added, A short memorial of the life and death of a fellow labourer in the church, our valuable friend Joseph White, late of Bucks county ... 	Churchman, John, 1705-1775.	1780-00-00	1	3277440			https://catalog.hathitrust.org/Record/007655863	https://hdl.handle.net/2027/uc2.ark:/13960/t7dr2qr67
mdp.39015063910353	An account of the growth of deism in England 	Stephens, William, d. 1718.	1696-00-00	1	1051879			https://catalog.hathitrust.org/Record/001925668	https://hdl.handle.net/2027/mdp.39015063910353
mdp.39015062967545	An account of the life and death of Mr. Philip Henry, minister of the Gospel, near Whitchurch in Shropshire, who dyed June 24, 1696 in the sixty fifth year of his age. With Dr. Bates's dedication 	Henry, Matthew, 1662-1714.	1712-00-00	1	15376201			https://catalog.hathitrust.org/Record/001959949	https://hdl.handle.net/2027/mdp.39015062967545
mdp.39015033367585	An account of the life and writings of Thomas Day, esq 	Keir, James, 1735-1820.	1791-00-00	1	2500624			https://catalog.hathitrust.org/Record/000285066	https://hdl.handle.net/2027/mdp.39015033367585
mdp.39015033367684	An account of the life of that ancient servant of Jesus Christ: John Richardson, giving a relation of many of his trials and exercises in his youth, and his services in the work of the ministry, in England, Ireland, America, &amp;c. ... 	Richardson, John, 1667-1753.	1791-00-00	1	5050176			https://catalog.hathitrust.org/Record/001960633	https://hdl.handle.net/2027/mdp.39015033367684
mdp.39015074633515	An account of the life, writings, and inventions of John Napier, of Merchiston; by David Stewart, earl of Buchan, and Walter Minto, L.L.D. Illustrated with copperplates ... 	Buchan, David Stewart Erskine, Earl of, 1742-1829.	1787-00-00	1	8355888	19017998		https://catalog.hathitrust.org/Record/000165848	https://hdl.handle.net/2027/mdp.39015074633515
uc2.ark:/13960/t9f47zc96	An account of the life, writings, and inventions of John Napier, of Merchiston; by David Stewart, earl of Buchan, and Walter Minto, L.L.D. Illustrated with copperplates ... 	Buchan, David Stewart Erskine, Earl of, 1742-1829.	1787-00-00	1	8355888	19017998		https://catalog.hathitrust.org/Record/000165848	https://hdl.handle.net/2027/uc2.ark:/13960/t9f47zc96
uc2.ark:/13960/t9n29rg14	An account of the manners and customs of Italy : with observations on the mistakes of some travellers, with regard to that country / by Joseph Baretti v.001	Baretti, Giuseppe Marco Antonio, 1719-1789.	1769-00-00	1	8949034			https://catalog.hathitrust.org/Record/007685509	https://hdl.handle.net/2027/uc2.ark:/13960/t9n29rg14
uc2.ark:/13960/t3dz04x0r	An account of the manners and customs of Italy : with observations on the mistakes of some travellers, with regard to that country / by Joseph Baretti v.002	Baretti, Giuseppe Marco Antonio, 1719-1789.	1769-00-00	1	8949034			https://catalog.hathitrust.org/Record/007685509	https://hdl.handle.net/2027/uc2.ark:/13960/t3dz04x0r
mdp.39015013713139	An account of the manners and customs of Italy; with observations on the mistakes of some travellers, with regard to that country. By Joseph Baretti v.1	Baretti, Giuseppe Marco Antonio, 1719-1789.	1768-00-00	1	4309880	04029487		https://catalog.hathitrust.org/Record/000350357	https://hdl.handle.net/2027/mdp.39015013713139
nyp.33433081568622	An account of the manners and customs of Italy; with observations on the mistakes of some travellers, with regard to that country By Joseph Baretti v. 1	Baretti, Giuseppe Marco Antonio, 1719-1789.	1768-00-00	1	4309880	04029487		https://catalog.hathitrust.org/Record/000350357	https://hdl.handle.net/2027/nyp.33433081568622
mdp.39015013709749	An account of the manners and customs of Italy; with observations on the mistakes of some travellers, with regard to that country By Joseph Baretti v.2	Baretti, Giuseppe Marco Antonio, 1719-1789.	1768-00-00	1	4309880	04029487		https://catalog.hathitrust.org/Record/000350357	https://hdl.handle.net/2027/mdp.39015013709749
nyp.33433081568614	An account of the manners and customs of Italy; with observations on the mistakes of some travellers, with regard to that country By Joseph Baretti v.2	Baretti, Giuseppe Marco Antonio, 1719-1789.	1768-00-00	1	4309880	04029487		https://catalog.hathitrust.org/Record/000350357	https://hdl.handle.net/2027/nyp.33433081568614
uc2.ark:/13960/t81j9pg94	An account of the musical performances in Westminster Abbey and the Pantheon, May 26th, 27th, 29th; and June the 3d and 5th, 1784. In commemoration of Handel. By Charles Burney. 	Burney, Charles, 1726-1814.	1785-00-00	1	4676553	04009439		https://catalog.hathitrust.org/Record/001456315	https://hdl.handle.net/2027/uc2.ark:/13960/t81j9pg94
uc2.ark:/13960/t58d0432r	An account of the nature and medicinal virtues of the principal mineral waters of Great Britain and Ireland; and those most in repute on the continent ... 	Elliot, John, Sir, 1736-1786.	1789-00-00	1	11248891			https://catalog.hathitrust.org/Record/007698468	https://hdl.handle.net/2027/uc2.ark:/13960/t58d0432r
uc2.ark:/13960/t9r20wj6m	An account of the new northern archipelago, lately discovered by the Russians in the seas of Kamtschatka and Anadir. By Mr. J. von Stæhlin ... Tr. from the German original 	Staehlin, Jakob von, 1709-1785.	1774-00-00	1	5938595	04019234		https://catalog.hathitrust.org/Record/007692632	https://hdl.handle.net/2027/uc2.ark:/13960/t9r20wj6m
mdp.39015063903556	An account of the proceedings against the rebels, and other prisoners, tried before the Lord Chief Justice Jefferies, and other judges, in the west of England, in 1685. for taking arms under the Duke of Monmouth. With a compleat list of all the persons that suffered ... and the punishments inflicted on them. Also an account of what was done against those in Scotland, who took arms there under the earl of Argyle, &amp;c. and against the Protestants in Ireland, by the late King James ... Published from an original manuscript. To which is prefix'd, the Duke of Monmouth's, the Earl of Argyle's, and the Pretender's declarations ... 		1716-00-00	1	15810762			https://catalog.hathitrust.org/Record/000772009	https://hdl.handle.net/2027/mdp.39015063903556
mdp.39015063610854	An account of the proceedings in the University of Cambridge, against William Frend ... fellow of Jesus College, Cambridge, for publishing a pamphlet, intitled Peace and union, &amp;c., containing the proceedings in Jesus College, the trial in the Vice-chanceller's court, and in the Court of delegates Published by the defendant ... 	Frend, William, 1757-1841.	1793-00-00	1	10517358			https://catalog.hathitrust.org/Record/000108184	https://hdl.handle.net/2027/mdp.39015063610854
nyp.33433082216445	An account of the proceedings in the University of Cambridge, against William Frend ... fellow of Jesus College, Cambridge, for publishing a pamphlet, intitled Peace and union, &amp;c., containing the proceedings in Jesus College, the trial in the Vice-chanceller's court, and in the Court of delegates Published by the defendant ... 	Frend, William, 1757-1841.	1793-00-00	1	10517358			https://catalog.hathitrust.org/Record/000108184	https://hdl.handle.net/2027/nyp.33433082216445
mdp.39015063599974	An account of the progress of the reformation of manners, in England, Scotland, and Ireland, and other parts of Europe and America ... In a letter to a friend. To which is added, the special obligations of magistrates, to be diligent in the execution of the penal-laws. 	Woodward, Josiah, 1660-1712.	1704-00-00	1	17749732	16000947		https://catalog.hathitrust.org/Record/000313350	https://hdl.handle.net/2027/mdp.39015063599974
mdp.39015077877408	An account of the receipts and expenditures of the United States ... 1949-1950	United States. Dept. of the Treasury.	1793-00-00	1	3376017	10011516		https://catalog.hathitrust.org/Record/001719475	https://hdl.handle.net/2027/mdp.39015077877408
mdp.39015077877416	An account of the receipts and expenditures of the United States ... 1959-1960	United States. Dept. of the Treasury.	1793-00-00	1	3376017	10011516		https://catalog.hathitrust.org/Record/001719475	https://hdl.handle.net/2027/mdp.39015077877416
mdp.39015077877424	An account of the receipts and expenditures of the United States ... 1961-1962	United States. Dept. of the Treasury.	1793-00-00	1	3376017	10011516		https://catalog.hathitrust.org/Record/001719475	https://hdl.handle.net/2027/mdp.39015077877424
uc2.ark:/13960/t4jm26n38	Account of the Russian discoveries between Asia and America. To which are added, the conquest of Siberia, and the history of the transactions and commerce between Russia and China. By William Coxe ... 	Coxe, William, 1747-1828.	1787-00-00	1	5589184	05040239		https://catalog.hathitrust.org/Record/007686654	https://hdl.handle.net/2027/uc2.ark:/13960/t4jm26n38
mdp.39015063081023	An account of the slave trade on the coast of Africa 	Falconbridge, Alexander, d. 1792.	1788-00-00	1	3809968	43021817		https://catalog.hathitrust.org/Record/001119574	https://hdl.handle.net/2027/mdp.39015063081023
mdp.39015030595022	An account of the societies for reformation of manners, in London and Westminster, and all other parts of the kingdom. With a persuasive to persons of all ranks, to be zealous and diligent in promoting the execution of the laws against prophaneness and debauchery, for the effecting a national reformation 	Woodward, Josiah, 1660-1712.	1699-00-00	1	2996951	47033837		https://catalog.hathitrust.org/Record/000313352	https://hdl.handle.net/2027/mdp.39015030595022
mdp.39015030204989	An account of the Society for Promoting Christian Knowledge. 	Society for Promoting Christian Knowledge (Great Britain)	1774-00-00	1	23629457			https://catalog.hathitrust.org/Record/001942366	https://hdl.handle.net/2027/mdp.39015030204989
nnc1.0022903011	An account of the Spanish settlements in America In four parts ...  To which is annexed, a succinct account of the climate, produce, trade, manufactures, &amp;c. of old Spain.  Illustrated with a map of America 		1762-00-00	1	7955910	01021493		https://catalog.hathitrust.org/Record/008394522	https://hdl.handle.net/2027/nnc1.0022903011
mdp.39015065347547	An account of the state of the Roman-Catholick religion throughout the world Written for the use of Pope Innocent XI. by Monsignor Cerri ... Now first translated from an authentick Italian ms. never publish'd. To which is added, A discourse concerning the state of religion in England. Written in French, in the time of K. Charles I. and now first translated. With a large dedication to the present pope; giving him a very particular account of the state of religion among Protestants; and of several other matters of importance relating to Great-Britain. By Sir Richard Steele 	Cerri, Urbano.	1715-00-00	1	6301364			https://catalog.hathitrust.org/Record/002240815	https://hdl.handle.net/2027/mdp.39015065347547
mdp.39015062796464	An account of the statues, bas-reliefs, drawings and pictures in Italy, France, &amp;c. with rem arks By Mr. Richardson, sen. and jun 	Richardson, Jonathan, 1665-1745.	1754-00-00	1	23640526			https://catalog.hathitrust.org/Record/000337593	https://hdl.handle.net/2027/mdp.39015062796464
mdp.39015063885308	An account of the trial of Thomas Muir, esq. younger, of Huntershill, before the High court of justiciary, at Edinburgh.  On the 30th and 31st days of August, 1793, for sedition 	Muir, Thomas, 1765-1799.	1793-00-00	1	3119131	28013727		https://catalog.hathitrust.org/Record/000151909	https://hdl.handle.net/2027/mdp.39015063885308
mdp.39015022429636	An account of the voyages undertaken by the order of His present Majesty for making discoveries in the Southern hemisphere, and successively performed by Commodore Byron, Captain Wallis, Captain Carteret, and Captain Cook, in the Dolphin, the Swallow, and the Endeavour; drawn up from the journals which were kept by the several commanders, and from the papers of Joseph Banks, esq; by John Hawkesworth ... Illustrated with cuts, and a great variety of charts and maps ... v.1	Hawkesworth, John, 1715?-1773.	1773-00-00	1	9299044	05034856		https://catalog.hathitrust.org/Record/001270937	https://hdl.handle.net/2027/mdp.39015022429636
